Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH
300+240SQ.MM,XLPE,11KV,HTCF SECTION,LACHHIRAM PLAZA,13426,MUKADAM COMPOUND NO.2,19021
300+240SQ.MM,XLPE,11KV,HTCF SECTION,MARUTI TOWER,10314,GUNDECHA INDUSTRIAL COMPLEX,16058
300+240SQ.MM,XLPE,11KV,HTCF SECTION,MARVE ROAD NO.2,9301,GREAT EASTERN HEIGHT,17080
300+240SQ.MM,XLPE,11KV,HTCF SECTION,PARK VIEW,9077,POISAR TELEPHONE EXCHANGE,12425
300+240+400SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PATHANWADI WEST,31634,VIRVANI IND.NO.1,32257
300+400SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+400SQ.MM,XLPE,11KV,HTCF SECTION,OMKAR SRA BUILDING NO.2B,36794,NARSOBA WADI,11053
400SQ.MM,XLPE,11KV,HTCF SECTION,JANKALYAN NAGAR RECEIVING STATION,40284,JANKALYAN NAGAR BLISS,37319
400SQ.MM,XLPE,22KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400SQ.MM,XLPE,33KV,HTCF SECTION,,,,
400+300SQ.MM,XLPE,22KV,HTCF SECTION,,,,
70+120SQ.MM,PILC,11KV,HTCF SECTION,DATTA MANDIR ROAD NO.2,12302,PUSHPA PARK,6839
70+120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,M E S PUMP,15919,PATGAON,27036
0.06+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TUNGVE WEST,17870,TUNGVE 3,10739
0.06+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TUNGVE WEST,17870,TUNGVE 3,10739
0.1+0.15+120SQ.MM,PILC,11KV,HTCF SECTION,POLYCHEM PUMP,28034,GAVAN VILLEGE KIOSK,7725
0.1+0.15+120SQ.MM,PILC,11KV,HTCF SECTION,POLYCHEM PUMP,28034,GAVAN VILLEGE KIOSK,7725
0.1+0.15+120SQ.MM,PILC,11KV,HTCF SECTION,POLYCHEM PUMP,28034,GAVAN VILLEGE KIOSK,7725
0.1+120SQ.MM,PILC,11KV,HTCF SECTION,CHOKSI MILL,12273,GARDEN COURT,13087
0.1+120SQ.MM,PILC,11KV,HTCF SECTION,T.MANEKLAL,559,PORBANDARWALA,4688
0.1+120+185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GIRIKUNJ,14922,ALPANA APT.,15365
0.1+120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
0.1+120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
0.15+0.1+120SQ.MM,PILC,11KV,HTCF SECTION,POLYCHEM PUMP,28034,GAVAN VILLEGE KIOSK,7725
0.15+0.1+120SQ.MM,PILC,11KV,HTCF SECTION,POLYCHEM PUMP,28034,GAVAN VILLEGE KIOSK,7725
0.15+0.1+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,POLYCHEM PUMP,28034,GAVAN VILLEGE KIOSK,7725
0.15+150+185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KALPANA,9264,GAFOOR KHAN ESTATE,29966
0.15+185+225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,L & T CONCRETE PLANT,30518,GHATKOPAR WEST 1,2111
0.15+185+225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,L & T CONCRETE PLANT,30518,GHATKOPAR WEST 1,2111
0.15+185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KALPANA,9266,KURLA  RECEIVING,29428
0.15+185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KIROL CENTRAL,14357,KIROL EAST 1,40035
0.15+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
0.3+300SQ.MM,PILC,22KV,HTCF SECTION,,,,
0.3+300SQ.MM,PILC+XLPE,22KV,HTCF SECTION,,,,
0.3+300+400SQ.MM,PILC+XLPE,22KV,HTCF SECTION,,,,
0.3+300+400SQ.MM,PILC+XLPE,22KV,HTCF SECTION,,,,
